"Handle","Title","Body HTML","Vendor","Type","Category: Name","Category","Image Src","Option1 Name","Option1 Value","Variant SKU","Variant Barcode","Variant Weight","Variant Price","Variant Taxable","Variant Inventory Qty","Variant HS Code","Variant Country of Origin"
"ab12-fairtex-mma-board-shorts-burn","AB12 Fairtex MMA Board Shorts Burn","<p>Fairtex board shorts are the ultimate cross over shorts that are perfect for MMA, Muaythai or any other sport, as well as being very stylish for wearing casually.</p>
<p>Made from light, fast drying and comfortable microfiber fabric with a secure elastic waist and concealed drawstring for maximum comfort and a secure fit.</p>
<p>Spandex lycra stretch panels at inside legs and across the back for ease of movement.</p>
<p>8"" side slit for high kicks and un-restricted movement.</p>
<hr>
<h3>Features:</h3>
<ul>
<li>Fast drying and comfortable microfiber</li>
<li>Secure elastic waist and concealed drawstring</li>
<li>Spandex lycra stretch panels<br>
</li>
<li>8"" side slit for high kicks<br>
</li>
</ul>
<hr>
<p><br></p>
<table width=""100%"">
<tbody>
<tr>
<td></td>
<th>Waist</th>
</tr>
<tr>
<td>
<h4>S</h4>
</td>
<td>28-30""</td>
</tr>
<tr>
<td>
<h4>M</h4>
</td>
<td>30-32""</td>
</tr>
<tr>
<td>
<h4>L</h4>
</td>
<td>32-34""</td>
</tr>
<tr>
<td>
<h4>XL</h4>
</td>
<td>34-36""</td>
</tr>
</tbody>
</table>
<p><br></p>","Fairtex","MMA Shorts","Boxing Shorts","Apparel & Accessories > Clothing > Activewear > Boxing Shorts","https://cdn.shopify.com/s/files/1/0779/9511/4763/files/ab12-fairtex-mma-board-shorts-burn.jpg?v=1739557226","Size","Small","AB12-S","8859368998137","0.2","59.99","true","0","62034390","TH"
"ab12-fairtex-mma-board-shorts-burn","AB12 Fairtex MMA Board Shorts Burn","","Fairtex","MMA Shorts","Boxing Shorts","Apparel & Accessories > Clothing > Activewear > Boxing Shorts","https://cdn.shopify.com/s/files/1/0779/9511/4763/files/ab12-fairtex-mma-board-shorts-burn-2.jpg?v=1739557226","Size","Medium","AB12-M","8859368998144","0.2","59.99","true","0","62034390","TH"
"ab12-fairtex-mma-board-shorts-burn","AB12 Fairtex MMA Board Shorts Burn","","Fairtex","MMA Shorts","Boxing Shorts","Apparel & Accessories > Clothing > Activewear > Boxing Shorts","https://cdn.shopify.com/s/files/1/0779/9511/4763/files/ab12-fairtex-mma-board-shorts-burn-3.jpg?v=1739557226","Size","Large","AB12-L","8859368998151","0.2","59.99","true","0","62034390","TH"
"ab12-fairtex-mma-board-shorts-burn","AB12 Fairtex MMA Board Shorts Burn","","Fairtex","MMA Shorts","Boxing Shorts","Apparel & Accessories > Clothing > Activewear > Boxing Shorts","https://cdn.shopify.com/s/files/1/0779/9511/4763/files/ab12-fairtex-mma-board-shorts-burn-4.jpg?v=1739557226","Size","XL","AB12-XL","8859368998168","0.2","59.99","true","0","62034390","TH"
"ab12-fairtex-mma-board-shorts-burn","AB12 Fairtex MMA Board Shorts Burn","","Fairtex","MMA Shorts","Boxing Shorts","Apparel & Accessories > Clothing > Activewear > Boxing Shorts","https://cdn.shopify.com/s/files/1/0779/9511/4763/files/ab12-fairtex-mma-board-shorts-burn-5.jpg?v=1739557226","","","","","","","","","",""
"ab13-fairtex-mma-board-shorts-wild","AB13 Fairtex MMA Board Shorts Wild","<p>Fairtex board shorts are the ultimate cross over shorts that are perfect for MMA, Muaythai or any other sport, as well as being very stylish for wearing casually.</p>
<p>Made from light, fast drying and comfortable microfiber fabric with a secure elastic waist and concealed drawstring for maximum comfort and a secure fit.</p>
<p>Spandex lycra stretch panels at inside legs and across the back for ease of movement.</p>
<p>8"" side slit for high kicks and un-restricted movement.</p>
<hr>
<h3>Features:</h3>
<ul>
<li>Fast drying and comfortable microfiber</li>
<li>Secure elastic waist and concealed drawstring</li>
<li>Spandex lycra stretch panels<br>
</li>
<li>8"" side slit for high kicks<br>
</li>
</ul>
<hr>
<p> </p>
<table width=""100%"">
<tbody>
<tr>
<td></td>
<th>Waist</th>
</tr>
<tr>
<td>
<h4>S</h4>
</td>
<td>28-30""</td>
</tr>
<tr>
<td>
<h4>M</h4>
</td>
<td>30-32""</td>
</tr>
<tr>
<td>
<h4>L</h4>
</td>
<td>32-34""</td>
</tr>
<tr>
<td>
<h4>XL</h4>
</td>
<td>34-36""</td>
</tr>
</tbody>
</table>
<p><br></p>","Fairtex","MMA Shorts","Boxing Shorts","Apparel & Accessories > Clothing > Activewear > Boxing Shorts","https://cdn.shopify.com/s/files/1/0779/9511/4763/files/ab13-fairtex-mma-board-shorts-wild.jpg?v=1739557225","Size","Small","AB13-S","8859368998175","0.2","59.99","true","0","62034390","TH"
"ab13-fairtex-mma-board-shorts-wild","AB13 Fairtex MMA Board Shorts Wild","","Fairtex","MMA Shorts","Boxing Shorts","Apparel & Accessories > Clothing > Activewear > Boxing Shorts","https://cdn.shopify.com/s/files/1/0779/9511/4763/files/ab13-fairtex-mma-board-shorts-wild-2.jpg?v=1739557225","Size","Medium","AB13-M","8859368998182","0.2","59.99","true","0","62034390","TH"
"ab13-fairtex-mma-board-shorts-wild","AB13 Fairtex MMA Board Shorts Wild","","Fairtex","MMA Shorts","Boxing Shorts","Apparel & Accessories > Clothing > Activewear > Boxing Shorts","https://cdn.shopify.com/s/files/1/0779/9511/4763/files/ab13-fairtex-mma-board-shorts-wild-3.jpg?v=1739557225","Size","Large","AB13-L","8859368998199","0.2","59.99","true","0","62034390","TH"
"ab13-fairtex-mma-board-shorts-wild","AB13 Fairtex MMA Board Shorts Wild","","Fairtex","MMA Shorts","Boxing Shorts","Apparel & Accessories > Clothing > Activewear > Boxing Shorts","https://cdn.shopify.com/s/files/1/0779/9511/4763/files/ab13-fairtex-mma-board-shorts-wild-5.jpg?v=1739557225","Size","XL","AB13-XL","8859368998205","0.2","59.99","true","0","62034390","TH"
"ab13-fairtex-mma-board-shorts-wild","AB13 Fairtex MMA Board Shorts Wild","","Fairtex","MMA Shorts","Boxing Shorts","Apparel & Accessories > Clothing > Activewear > Boxing Shorts","https://cdn.shopify.com/s/files/1/0779/9511/4763/files/ab13-fairtex-mma-board-shorts-wild-4.jpg?v=1739557225","","","","","","","","","",""
"ab13-fairtex-mma-board-shorts-wild","AB13 Fairtex MMA Board Shorts Wild","","Fairtex","MMA Shorts","Boxing Shorts","Apparel & Accessories > Clothing > Activewear > Boxing Shorts","https://cdn.shopify.com/s/files/1/0779/9511/4763/files/ab13-fairtex-mma-board-shorts-wild-6.jpg?v=1739557225","","","","","","","","","",""
"ab16-fairtex-mma-board-shorts-mellow","AB16 Fairtex MMA Board Shorts Mellow","<p>Fairtex board shorts are the ultimate cross over shorts that are perfect for MMA, Muaythai or any other sport, as well as being very stylish for wearing casually.</p>
<p>Made from light, fast drying and comfortable microfiber fabric with a secure elastic waist and concealed drawstring for maximum comfort and a secure fit.</p>
<p>Spandex lycra stretch panels at inside legs and across the back for ease of movement.</p>
<p>8"" side slit for high kicks and un-restricted movement.</p>
<hr>
<h3>Features:</h3>
<ul>
<li>Fast drying and comfortable microfiber</li>
<li>Secure elastic waist and concealed drawstring</li>
<li>Spandex lycra stretch panels<br>
</li>
<li>8"" side slit for high kicks<br>
</li>
</ul>
<hr>
<p> </p>
<table width=""100%"">
<tbody>
<tr>
<td></td>
<th>Waist</th>
</tr>
<tr>
<td>
<h4>S</h4>
</td>
<td>28-30""</td>
</tr>
<tr>
<td>
<h4>M</h4>
</td>
<td>30-32""</td>
</tr>
<tr>
<td>
<h4>L</h4>
</td>
<td>32-34""</td>
</tr>
<tr>
<td>
<h4>XL</h4>
</td>
<td>34-36""</td>
</tr>
</tbody>
</table>
<p><br></p>","Fairtex","MMA Shorts","Boxing Shorts","Apparel & Accessories > Clothing > Activewear > Boxing Shorts","https://cdn.shopify.com/s/files/1/0779/9511/4763/files/ab16-fairtex-mma-board-shorts-mellow.jpg?v=1739557224","Size","Small","AB16-S","8859368998298","0.2","59.99","true","0","62034390","TH"
